Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562002036.48995,1.514,-6.565,99.379,0,-103.832595825195,-707.589660644531,0,74,-50,190,0,240,2108,2032,2564,34,34,12
1562002036.48997,1.524,-6.567,99.372,0,-103.843490600586,-708.605163574219,0,74,-50,190,0,241,2112,2028,2560,36,49,8
1562002036.48999,1.532,-6.569,99.364,0,-103.774543762207,-709.558166503906,0,68,-60,186,0,241,2108,2032,2568,31,50,12
1562002036.49001,1.536,-6.571,99.358,0,-103.720268249512,-710.417053222656,0,68,-60,186,0,241,2112,2024,2556,44,64,5
1562002036.49002,1.538,-6.573,99.351,0,-103.620552062988,-711.259643554688,0,67,-45,177,0,241,2112,2024,2560,40,73,4
1562002036.49004,1.537,-6.572,99.346,0,-103.58708190918,-711.967407226563,0,67,-45,177,0,241,2108,2028,2568,52,66,8
1562002036.49006,1.537,-6.572,99.341,0,-103.520332336426,-712.61669921875,0,69,-45,181,0,241,2116,2020,2560,57,57,9
1562002036.49007,1.537,-6.569,99.335,0,-103.431015014648,-713.296081542969,0,69,-45,181,0,241,2112,2028,2568,64,56,13
1562002036.49009,1.541,-6.564,99.329,0,-103.287399291992,-713.941467285156,0,68,-52,186,0,241,2108,2028,2572,64,46,13
1562002036.4901,1.546,-6.557,99.32,0,-103.118797302246,-714.778076171875,0,68,-52,186,0,240,2112,2028,2560,58,49,20
1562002036.49012,1.552,-6.551,99.311,0,-102.988250732422,-715.617004394531,0,64,-60,186,0,240,2108,2032,2568,46,41,22
1562002036.49014,1.559,-6.545,99.301,0,-102.882438659668,-716.565368652344,0,64,-60,186,0,240,2108,2032,2564,62,45,18
1562002036.49015,1.563,-6.541,99.29,0,-102.864280700684,-717.612609863281,0,66,-50,182,0,240,2108,2036,2560,42,61,17
1562002036.49017,1.567,-6.537,99.281,0,-102.907211303711,-718.716918945313,0,66,-50,182,0,240,2100,2044,2568,52,57,14
1562002036.49019,1.568,-6.531,99.273,0,-103.06519317627,-720.041870117188,0,73,-47,191,0,240,2104,2040,2560,58,58,11
1562002036.4902,1.567,-6.523,99.266,0,-103.390518188477,-721.424682617188,0,73,-47,191,0,240,2100,2040,2556,62,56,13
1562002036.49022,1.567,-6.513,99.259,0,-103.804161071777,-722.853759765625,0,66,-56,188,0,240,2096,2040,2568,66,33,9
1562002036.49024,1.569,-6.502,99.252,0,-104.343788146973,-724.285766601563,0,66,-56,188,0,240,2100,2044,2560,67,40,5
1562002036.49025,1.575,-6.49,99.245,0,-104.883811950684,-725.656860351563,0,60,-54,178,0,240,2100,2044,2564,58,24,3
1562002036.49027,1.582,-6.479,99.239,0,-105.390563964844,-727.084777832031,0,60,-54,178,0,240,2100,2040,2564,64,22,1
1562002036.49029,1.593,-6.468,99.234,0,-105.871025085449,-728.546691894531,0,64,-44,174,0,240,2104,2044,2560,57,31,1
1562002036.4903,1.603,-6.458,99.23,0,-106.23624420166,-729.9775390625,0,64,-44,174,0,240,2104,2044,2568,55,33,-6
1562002036.49032,1.611,-6.449,99.227,0,-106.519515991211,-731.449890136719,0,73,-51,181,0,240,2112,2044,2564,49,53,-11
1562002036.49033,1.618,-6.441,99.224,0,-106.611198425293,-732.879699707031,0,73,-51,181,0,240,2120,2048,2560,45,57,-4
1562002036.49035,1.623,-6.434,99.223,0,-106.420440673828,-734.401245117188,0,69,-61,181,0,240,2124,2048,2568,46,61,-6
1562002036.49037,1.628,-6.427,99.222,0,-105.900573730469,-735.999572753906,0,69,-61,181,0,240,2132,2048,2556,48,87,-3
1562002036.49038,1.631,-6.419,99.221,0,-105.075881958008,-737.642456054688,0,65,-57,177,0,240,2132,2052,2560,41,88,-4
1562002036.4904,1.632,-6.412,99.219,0,-104.032989501953,-739.366638183594,0,65,-57,177,0,240,2132,2052,2564,47,91,-2
1562002036.49042,1.633,-6.403,99.217,0,-102.921058654785,-741.145812988281,0,67,-45,177,0,240,2136,2056,2556,45,91,3
